Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/login,50,0,47,57.62200799945276,25.417500000912696,145.29810001840815,2346.0,0.855747700674246,0.0,47,58,70,78,99,120,150,150,150,150,150
GET,GET /  (board),600,0,13,18.807557666150387,5.975000007310882,141.01299998583272,2346.0,10.268972408090953,0.0,13,17,20,24,38,49,73,87,140,140,140
GET,GET /api/equipamentos,6,0,11,19.392050007202972,8.859399997163564,41.67949999100529,2346.0,0.10268972408090953,0.0,13,13,32,32,42,42,42,42,42,42,42
GET,GET /chamados/<id>,327,0,13,18.80150519803434,6.715099996654317,76.43099999404512,2346.0,5.596589962409569,0.0,13,18,22,26,35,48,64,72,76,76,76
GET,GET /chamados/exportar,8,0,15,18.370762503764126,8.827099984046072,54.246699990471825,2346.0,0.13691963210787936,0.0,16,16,16,16,54,54,54,54,54,54,54
GET,GET /crm/_clientes_json,5,0,16,18.209859990747645,12.89129999349825,29.13859998807311,2346.0,0.0855747700674246,0.0,16,19,19,29,29,29,29,29,29,29,29
GET,GET /crm/clientes,95,0,16,20.179750527083677,7.340599986491725,73.66110000293702,2346.0,1.6259206312810675,0.0,16,20,25,30,39,52,70,74,74,74,74
GET,GET /crm/funil,121,0,13,15.746748760633155,7.068999984767288,47.93410000274889,2346.0,2.0709094356316755,0.0,13,15,18,21,30,38,42,48,48,48,48
GET,GET /equipamentos,17,0,12,15.941664703217718,7.26869999198243,59.122700011357665,2346.0,0.29095421822924367,0.0,12,14,15,20,28,59,59,59,59,59,59
GET,GET /incidentes,90,0,13,17.87580555667066,6.812000006902963,60.21060000057332,2346.0,1.540345861213643,0.0,13,15,21,27,36,44,57,60,60,60,60
GET,GET /relatorios,130,0,13,18.50705923145422,6.70420000096783,80.45629999833182,2346.0,2.2249440217530396,0.0,13,16,19,25,38,56,73,79,80,80,80
GET,GET /usuarios,16,0,13,16.091118757685763,8.259499998530373,40.103200008161366,2346.0,0.2738392642157587,0.0,13,14,15,15,37,40,40,40,40,40,40
POST,POST /chamados,47,0,15,21.92393617154634,7.699300011154264,78.38320001610555,2346.0,0.8044028386337913,0.0,15,22,30,36,43,51,78,78,78,78,78
POST,POST /chamados/<id>/atribuir,34,0,16,23.39069705682478,6.915500009199604,88.29859999241307,2346.0,0.5819084364584873,0.0,16,20,28,42,48,71,88,88,88,88,88
POST,POST /chamados/<id>/status,4,0,17,39.91837499779649,13.601599988760427,65.32289998722263,2346.0,0.06845981605393968,0.0,64,64,65,65,65,65,65,65,65,65,65
POST,POST /crm/oportunidade/<id>/estagio,32,0,16,21.37033437156788,6.8916999734938145,60.08020002627745,2346.0,0.5476785284315174,0.0,18,25,29,31,38,53,60,60,60,60,60
,Aggregated,1582,0,14,20.039802212199678,5.975000007310882,145.29810001840815,2346.0,27.075857249333144,0.0,14,18,23,27,41,52,72,85,140,150,150
